time,open,high,low,close,Volume
2025-12-02 04:00:00,23783.38,23790.3,23782.22,23787.22,0
2025-12-02 04:05:00,23788.76,23793.0,23786.46,23786.46,0
2025-12-02 04:10:00,23789.15,23802.62,23789.15,23798.39,0
2025-12-02 04:15:00,23795.31,23802.62,23794.54,23799.16,0
2025-12-02 04:20:00,23796.08,23800.7,23791.84,23800.7,0
2025-12-02 04:25:00,23801.47,23809.94,23801.09,23804.55,0
2025-12-02 04:30:00,23803.4,23803.4,23791.08,23793.38,0
2025-12-02 04:35:00,23791.08,23795.31,23787.22,23788.38,0
2025-12-02 04:40:00,23792.62,23795.7,23787.22,23795.31,0
2025-12-02 04:45:00,23791.08,23799.16,23786.84,23798.0,0
2025-12-02 04:50:00,23799.54,23809.17,23799.54,23806.09,0
2025-12-02 04:55:00,23809.17,23809.17,23800.32,23800.32,0
2025-12-02 05:00:00,23804.55,23804.55,23801.09,23802.24,0
2025-12-02 05:05:00,23802.24,23816.1,23801.86,23816.1,0
2025-12-02 05:10:00,23816.48,23816.48,23804.55,23806.48,0
2025-12-02 05:15:00,23804.94,23807.24,23799.93,23806.86,0
2025-12-02 05:20:00,23808.02,23808.02,23798.39,23800.7,0
2025-12-02 05:25:00,23801.86,23814.95,23799.16,23814.18,0
2025-12-02 05:30:00,23816.1,23824.18,23814.95,23818.8,0
2025-12-02 05:35:00,23818.02,23820.72,23813.79,23819.18,0
2025-12-02 05:40:00,23819.95,23831.5,23819.95,23830.34,0
2025-12-02 05:45:00,23831.5,23838.43,23831.5,23833.42,0
2025-12-02 05:50:00,23834.96,23849.6,23833.04,23848.82,0
2025-12-02 05:55:00,23848.05,23854.6,23844.2,23844.98,0
2025-12-02 06:00:00,23848.82,23848.82,23838.43,23838.43,0
2025-12-02 06:05:00,23837.66,23849.98,23837.66,23845.74,0
2025-12-02 06:10:00,23850.36,23852.29,23843.05,23846.9,0
2025-12-02 06:15:00,23847.67,23848.82,23843.05,23847.67,0
2025-12-02 06:20:00,23848.82,23852.68,23846.9,23852.68,0
2025-12-02 06:25:00,23853.06,23857.68,23842.28,23857.68,0
2025-12-02 06:30:00,23854.6,23863.07,23852.68,23853.45,0
2025-12-02 06:35:00,23853.06,23854.6,23841.12,23853.83,0
2025-12-02 06:40:00,23851.52,23853.06,23843.44,23846.9,0
2025-12-02 06:45:00,23848.82,23850.75,23845.36,23848.82,0
2025-12-02 06:50:00,23848.82,23851.52,23846.13,23848.05,0
2025-12-02 06:55:00,23847.67,23848.44,23836.5,23838.43,0
2025-12-02 07:00:00,23839.2,23846.9,23837.28,23843.05,0
2025-12-02 07:05:00,23846.52,23851.9,23836.89,23838.04,0
2025-12-02 07:10:00,23836.89,23836.89,23823.03,23831.88,0
2025-12-02 07:15:00,23835.35,23839.2,23830.34,23838.04,0
2025-12-02 07:20:00,23843.05,23846.9,23837.28,23844.59,0
2025-12-02 07:25:00,23841.9,23845.36,23836.5,23844.2,0
2025-12-02 07:30:00,23841.12,23841.12,23819.95,23821.1,0
2025-12-02 07:35:00,23821.49,23825.72,23817.26,23825.72,0
2025-12-02 07:40:00,23821.88,23827.65,23820.72,23824.57,0
2025-12-02 07:45:00,23824.96,23828.77,23821.88,23827.26,0
2025-12-02 07:50:00,23825.34,23839.59,23825.34,23836.89,0
2025-12-02 07:55:00,23837.66,23856.14,23836.89,23855.37,0
2025-12-02 08:00:00,23838.43,23863.46,23697.18,23848.05,0
2025-12-02 08:05:00,23849.4,23851.14,23761.04,23849.21,0
2025-12-02 08:10:00,23849.98,23855.37,23845.94,23854.22,0
2025-12-02 08:15:00,23854.98,23860.38,23848.25,23849.6,0
2025-12-02 08:20:00,23850.36,23858.02,23843.82,23855.76,0
2025-12-02 08:25:00,23855.76,23858.04,23851.14,23851.14,0
2025-12-02 08:30:00,23852.87,23853.83,23840.36,23844.98,0
2025-12-02 08:35:00,23844.98,23855.37,23841.12,23855.02,0
2025-12-02 08:40:00,23858.45,23869.23,23857.3,23862.68,0
2025-12-02 08:45:00,23863.07,23863.07,23761.04,23849.6,0
2025-12-02 08:50:00,23851.14,23852.66,23838.04,23848.82,0
2025-12-02 08:55:00,23848.82,23861.55,23842.66,23861.55,0
2025-12-02 09:00:00,23864.22,23876.16,23859.6,23871.35,0
2025-12-02 09:05:00,23873.08,23876.93,23862.68,23863.07,0
2025-12-02 09:10:00,23862.3,23868.08,23858.45,23864.22,0
2025-12-02 09:15:00,23865.37,23868.84,23861.14,23865.38,0
2025-12-02 09:20:00,23865.76,23870.77,23860.38,23865.38,0
2025-12-02 09:25:00,23865.38,23865.38,23841.9,23847.67,0
2025-12-02 09:30:00,23849.21,23881.55,23830.73,23880.7,1464761
2025-12-02 09:35:00,23880.97,23957.01,23875.78,23947.39,1153184
2025-12-02 09:40:00,23947.39,23961.07,23927.05,23944.69,679512
2025-12-02 09:45:00,23945.46,23952.39,23918.51,23933.91,607076
2025-12-02 09:50:00,23933.91,23957.78,23913.89,23920.36,846209
2025-12-02 09:55:00,23920.82,23953.97,23915.82,23946.61,524019
2025-12-02 10:00:00,23947.0,23990.89,23944.69,23980.11,790801
2025-12-02 10:05:00,23981.65,23998.59,23975.49,23983.58,543819
2025-12-02 10:10:00,23983.96,23985.49,23952.01,23980.69,574003
2025-12-02 10:15:00,23980.88,23989.35,23964.33,23974.34,433448
2025-12-02 10:20:00,23974.72,23985.5,23953.93,23984.34,464134
2025-12-02 10:25:00,23984.73,23992.04,23917.74,23923.76,526596
2025-12-02 10:30:00,23923.52,23930.06,23885.4,23902.34,847109
2025-12-02 10:35:00,23903.88,23922.74,23891.56,23910.42,464201
2025-12-02 10:40:00,23910.81,23974.72,23907.34,23970.1,563809
2025-12-02 10:45:00,23970.1,23995.51,23963.17,23995.51,459332
2025-12-02 10:50:00,23997.43,24014.38,23992.04,23997.43,418357
2025-12-02 10:55:00,23997.43,24005.14,23984.73,23993.2,320383
2025-12-02 11:00:00,23993.97,24007.83,23967.79,23992.82,689443
2025-12-02 11:05:00,23992.43,23993.2,23935.07,23941.99,652663
2025-12-02 11:10:00,23942.38,23952.78,23878.47,23893.48,748553
2025-12-02 11:15:00,23893.1,23906.19,23870.39,23885.02,706412
2025-12-02 11:20:00,23884.44,23896.18,23817.64,23820.72,734578
2025-12-02 11:25:00,23819.95,23841.51,23803.4,23819.18,612420
2025-12-02 11:30:00,23818.41,23838.82,23777.22,23808.78,803843
2025-12-02 11:35:00,23808.21,23859.6,23804.93,23858.84,691593
2025-12-02 11:40:00,23859.22,23880.4,23846.13,23846.13,556296
2025-12-02 11:45:00,23845.36,23866.53,23836.51,23851.91,331208
2025-12-02 11:50:00,23852.67,23875.78,23847.67,23872.7,300360
2025-12-02 11:55:00,23872.7,23888.86,23858.64,23864.61,345749
2025-12-02 12:00:00,23864.61,23906.96,23860.76,23890.6,346610
2025-12-02 12:05:00,23890.02,23899.26,23871.92,23873.47,244874
2025-12-02 12:10:00,23872.7,23903.88,23870.39,23903.3,238709
2025-12-02 12:15:00,23903.49,23949.31,23900.03,23944.69,562643
2025-12-02 12:20:00,23944.69,23956.24,23930.45,23935.07,350198
2025-12-02 12:25:00,23934.68,23962.59,23930.84,23954.32,233519
2025-12-02 12:30:00,23954.32,23970.87,23954.32,23960.09,239902
